id,version,synthetic,created_at,updated_at,customer_id,vehicle_id,quote_id,contract_id,technician_id,bay_id,description,due_at,opened_at,completed_at,inspection,authorization_ref,qc_ref,block_reason,status
WO-H085,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H085,,T-001,B-001,Servicio histórico sintético,2026-08-06T13:00:00Z,2026-08-06T05:00:00Z,2026-08-06T13:00:00Z,Inspección histórica sintética,AUTH-H085,QC-H085,,delivered
WO-H086,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H086,,T-002,B-002,Servicio histórico sintético,2026-08-06T02:00:00Z,2026-08-05T16:00:00Z,2026-08-06T02:00:00Z,Inspección histórica sintética,AUTH-H086,QC-H086,,delivered
WO-H087,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H087,,T-003,B-003,Servicio histórico sintético,2026-08-05T15:00:00Z,2026-08-05T03:00:00Z,2026-08-05T15:00:00Z,Inspección histórica sintética,AUTH-H087,QC-H087,,delivered
WO-H088,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H088,,T-004,B-004,Servicio histórico sintético,2026-08-05T04:00:00Z,2026-08-04T14:00:00Z,2026-08-05T04:00:00Z,Inspección histórica sintética,AUTH-H088,QC-H088,,delivered
WO-H089,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H089,,T-001,B-001,Servicio histórico sintético,2026-08-04T17:00:00Z,2026-08-04T01:00:00Z,2026-08-04T17:00:00Z,Inspección histórica sintética,AUTH-H089,QC-H089,,delivered
WO-H090,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H090,,T-002,B-002,Servicio histórico sintético,2026-08-06T00:00:00Z,2026-08-03T12:00:00Z,2026-08-06T00:00:00Z,Inspección histórica sintética,AUTH-H090,QC-H090,,delivered
WO-H091,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H091,,T-003,B-003,Servicio histórico sintético,2026-08-03T05:00:00Z,2026-08-02T23:00:00Z,2026-08-03T05:00:00Z,Inspección histórica sintética,AUTH-H091,QC-H091,,delivered
WO-H092,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H092,,T-004,B-004,Servicio histórico sintético,2026-08-02T18:00:00Z,2026-08-02T10:00:00Z,2026-08-02T18:00:00Z,Inspección histórica sintética,AUTH-H092,QC-H092,,delivered
WO-H093,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H093,CT-001,T-001,B-001,Servicio histórico sintético,2026-08-02T07:00:00Z,2026-08-01T21:00:00Z,2026-08-02T07:00:00Z,Inspección histórica sintética,AUTH-H093,QC-H093,,delivered
WO-H094,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H094,CT-001,T-002,B-002,Servicio histórico sintético,2026-08-01T20:00:00Z,2026-08-01T08:00:00Z,2026-08-01T20:00:00Z,Inspección histórica sintética,AUTH-H094,QC-H094,,delivered
WO-H095,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H095,CT-002,T-003,B-003,Servicio histórico sintético,2026-08-01T09:00:00Z,2026-07-31T19:00:00Z,2026-08-01T09:00:00Z,Inspección histórica sintética,AUTH-H095,QC-H095,,delivered
WO-H096,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H096,CT-002,T-004,B-004,Servicio histórico sintético,2026-07-31T22:00:00Z,2026-07-31T06:00:00Z,2026-07-31T22:00:00Z,Inspección histórica sintética,AUTH-H096,QC-H096,,delivered
WO-H097,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H097,,T-001,B-001,Servicio histórico sintético,2026-07-31T11:00:00Z,2026-07-30T17:00:00Z,2026-07-31T11:00:00Z,Inspección histórica sintética,AUTH-H097,QC-H097,,delivered
WO-H098,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H098,,T-002,B-002,Servicio histórico sintético,2026-07-30T10:00:00Z,2026-07-30T04:00:00Z,2026-07-30T10:00:00Z,Inspección histórica sintética,AUTH-H098,QC-H098,,delivered
WO-H099,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H099,,T-003,B-003,Servicio histórico sintético,2026-08-01T00:00:00Z,2026-07-29T15:00:00Z,2026-08-01T00:00:00Z,Inspección histórica sintética,AUTH-H099,QC-H099,,delivered
WO-H100,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H100,,T-004,B-004,Servicio histórico sintético,2026-07-29T12:00:00Z,2026-07-29T02:00:00Z,2026-07-29T12:00:00Z,Inspección histórica sintética,AUTH-H100,QC-H100,,delivered
WO-H101,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H101,,T-001,B-001,Servicio histórico sintético,2026-07-29T01:00:00Z,2026-07-28T13:00:00Z,2026-07-29T01:00:00Z,Inspección histórica sintética,AUTH-H101,QC-H101,,delivered
WO-H102,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H102,,T-002,B-002,Servicio histórico sintético,2026-07-28T14:00:00Z,2026-07-28T00:00:00Z,2026-07-28T14:00:00Z,Inspección histórica sintética,AUTH-H102,QC-H102,,delivered
WO-H103,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H103,,T-003,B-003,Servicio histórico sintético,2026-07-28T03:00:00Z,2026-07-27T11:00:00Z,2026-07-28T03:00:00Z,Inspección histórica sintética,AUTH-H103,QC-H103,,delivered
WO-H104,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H104,,T-004,B-004,Servicio histórico sintético,2026-07-27T16:00:00Z,2026-07-26T22:00:00Z,2026-07-27T16:00:00Z,Inspección histórica sintética,AUTH-H104,QC-H104,,delivered
WO-H105,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H105,CT-001,T-001,B-001,Servicio histórico sintético,2026-07-26T15:00:00Z,2026-07-26T09:00:00Z,2026-07-26T15:00:00Z,Inspección histórica sintética,AUTH-H105,QC-H105,,delivered
WO-H106,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H106,CT-001,T-002,B-002,Servicio histórico sintético,2026-07-26T04:00:00Z,2026-07-25T20:00:00Z,2026-07-26T04:00:00Z,Inspección histórica sintética,AUTH-H106,QC-H106,,delivered
WO-H107,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H107,CT-002,T-003,B-003,Servicio histórico sintético,2026-07-25T17:00:00Z,2026-07-25T07:00:00Z,2026-07-25T17:00:00Z,Inspección histórica sintética,AUTH-H107,QC-H107,,delivered
WO-H108,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H108,CT-002,T-004,B-004,Servicio histórico sintético,2026-07-27T00:00:00Z,2026-07-24T18:00:00Z,2026-07-27T00:00:00Z,Inspección histórica sintética,AUTH-H108,QC-H108,,delivered
WO-H109,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H109,,T-001,B-001,Servicio histórico sintético,2026-07-24T19:00:00Z,2026-07-24T05:00:00Z,2026-07-24T19:00:00Z,Inspección histórica sintética,AUTH-H109,QC-H109,,delivered
WO-H110,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H110,,T-002,B-002,Servicio histórico sintético,2026-07-24T08:00:00Z,2026-07-23T16:00:00Z,2026-07-24T08:00:00Z,Inspección histórica sintética,AUTH-H110,QC-H110,,delivered
WO-H111,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H111,,T-003,B-003,Servicio histórico sintético,2026-07-23T21:00:00Z,2026-07-23T03:00:00Z,2026-07-23T21:00:00Z,Inspección histórica sintética,AUTH-H111,QC-H111,,delivered
WO-H112,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H112,,T-004,B-004,Servicio histórico sintético,2026-07-22T20:00:00Z,2026-07-22T14:00:00Z,2026-07-22T20:00:00Z,Inspección histórica sintética,AUTH-H112,QC-H112,,delivered
WO-H113,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H113,,T-001,B-001,Servicio histórico sintético,2026-07-22T09:00:00Z,2026-07-22T01:00:00Z,2026-07-22T09:00:00Z,Inspección histórica sintética,AUTH-H113,QC-H113,,delivered
WO-H114,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H114,,T-002,B-002,Servicio histórico sintético,2026-07-21T22:00:00Z,2026-07-21T12:00:00Z,2026-07-21T22:00:00Z,Inspección histórica sintética,AUTH-H114,QC-H114,,delivered
WO-H115,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H115,,T-003,B-003,Servicio histórico sintético,2026-07-21T11:00:00Z,2026-07-20T23:00:00Z,2026-07-21T11:00:00Z,Inspección histórica sintética,AUTH-H115,QC-H115,,delivered
WO-H116,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H116,,T-004,B-004,Servicio histórico sintético,2026-07-21T00:00:00Z,2026-07-20T10:00:00Z,2026-07-21T00:00:00Z,Inspección histórica sintética,AUTH-H116,QC-H116,,delivered
WO-H117,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H117,CT-001,T-001,B-001,Servicio histórico sintético,2026-07-22T12:00:00Z,2026-07-19T21:00:00Z,2026-07-22T12:00:00Z,Inspección histórica sintética,AUTH-H117,QC-H117,,delivered
WO-H118,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H118,CT-001,T-002,B-002,Servicio histórico sintético,2026-07-20T02:00:00Z,2026-07-19T08:00:00Z,2026-07-20T02:00:00Z,Inspección histórica sintética,AUTH-H118,QC-H118,,delivered
WO-H119,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H119,CT-002,T-003,B-003,Servicio histórico sintético,2026-07-19T01:00:00Z,2026-07-18T19:00:00Z,2026-07-19T01:00:00Z,Inspección histórica sintética,AUTH-H119,QC-H119,,delivered
WO-H120,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H120,CT-002,T-004,B-004,Servicio histórico sintético,2026-07-18T14:00:00Z,2026-07-18T06:00:00Z,2026-07-18T14:00:00Z,Inspección histórica sintética,AUTH-H120,QC-H120,,delivered
WO-H121,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H121,,T-001,B-001,Servicio histórico sintético,2026-07-18T03:00:00Z,2026-07-17T17:00:00Z,2026-07-18T03:00:00Z,Inspección histórica sintética,AUTH-H121,QC-H121,,delivered
WO-H122,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H122,,T-002,B-002,Servicio histórico sintético,2026-07-17T16:00:00Z,2026-07-17T04:00:00Z,2026-07-17T16:00:00Z,Inspección histórica sintética,AUTH-H122,QC-H122,,delivered
WO-H123,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H123,,T-003,B-003,Servicio histórico sintético,2026-07-17T05:00:00Z,2026-07-16T15:00:00Z,2026-07-17T05:00:00Z,Inspección histórica sintética,AUTH-H123,QC-H123,,delivered
WO-H124,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H124,,T-004,B-004,Servicio histórico sintético,2026-07-16T18:00:00Z,2026-07-16T02:00:00Z,2026-07-16T18:00:00Z,Inspección histórica sintética,AUTH-H124,QC-H124,,delivered
WO-H125,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H125,,T-001,B-001,Servicio histórico sintético,2026-07-16T07:00:00Z,2026-07-15T13:00:00Z,2026-07-16T07:00:00Z,Inspección histórica sintética,AUTH-H125,QC-H125,,delivered
WO-H126,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H126,,T-002,B-002,Servicio histórico sintético,2026-07-17T12:00:00Z,2026-07-15T00:00:00Z,2026-07-17T12:00:00Z,Inspección histórica sintética,AUTH-H126,QC-H126,,delivered
WO-H127,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H127,,T-003,B-003,Servicio histórico sintético,2026-07-14T19:00:00Z,2026-07-14T11:00:00Z,2026-07-14T19:00:00Z,Inspección histórica sintética,AUTH-H127,QC-H127,,delivered
WO-H128,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H128,,T-004,B-004,Servicio histórico sintético,2026-07-14T08:00:00Z,2026-07-13T22:00:00Z,2026-07-14T08:00:00Z,Inspección histórica sintética,AUTH-H128,QC-H128,,delivered
WO-H129,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H129,CT-001,T-001,B-001,Servicio histórico sintético,2026-07-13T21:00:00Z,2026-07-13T09:00:00Z,2026-07-13T21:00:00Z,Inspección histórica sintética,AUTH-H129,QC-H129,,delivered
WO-H130,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H130,CT-001,T-002,B-002,Servicio histórico sintético,2026-07-13T10:00:00Z,2026-07-12T20:00:00Z,2026-07-13T10:00:00Z,Inspección histórica sintética,AUTH-H130,QC-H130,,delivered
WO-H131,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H131,CT-002,T-003,B-003,Servicio histórico sintético,2026-07-12T23:00:00Z,2026-07-12T07:00:00Z,2026-07-12T23:00:00Z,Inspección histórica sintética,AUTH-H131,QC-H131,,delivered
WO-H132,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H132,CT-002,T-004,B-004,Servicio histórico sintético,2026-07-12T12:00:00Z,2026-07-11T18:00:00Z,2026-07-12T12:00:00Z,Inspección histórica sintética,AUTH-H132,QC-H132,,delivered
WO-H133,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H133,,T-001,B-001,Servicio histórico sintético,2026-07-11T11:00:00Z,2026-07-11T05:00:00Z,2026-07-11T11:00:00Z,Inspección histórica sintética,AUTH-H133,QC-H133,,delivered
WO-H134,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H134,,T-002,B-002,Servicio histórico sintético,2026-07-11T00:00:00Z,2026-07-10T16:00:00Z,2026-07-11T00:00:00Z,Inspección histórica sintética,AUTH-H134,QC-H134,,delivered
WO-H135,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H135,,T-003,B-003,Servicio histórico sintético,2026-07-12T12:00:00Z,2026-07-10T03:00:00Z,2026-07-12T12:00:00Z,Inspección histórica sintética,AUTH-H135,QC-H135,,delivered
WO-H136,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H136,,T-004,B-004,Servicio histórico sintético,2026-07-10T02:00:00Z,2026-07-09T14:00:00Z,2026-07-10T02:00:00Z,Inspección histórica sintética,AUTH-H136,QC-H136,,delivered
WO-H137,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H137,,T-001,B-001,Servicio histórico sintético,2026-07-09T15:00:00Z,2026-07-09T01:00:00Z,2026-07-09T15:00:00Z,Inspección histórica sintética,AUTH-H137,QC-H137,,delivered
WO-H138,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H138,,T-002,B-002,Servicio histórico sintético,2026-07-09T04:00:00Z,2026-07-08T12:00:00Z,2026-07-09T04:00:00Z,Inspección histórica sintética,AUTH-H138,QC-H138,,delivered
WO-H139,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H139,,T-003,B-003,Servicio histórico sintético,2026-07-08T17:00:00Z,2026-07-07T23:00:00Z,2026-07-08T17:00:00Z,Inspección histórica sintética,AUTH-H139,QC-H139,,delivered
WO-H140,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H140,,T-004,B-004,Servicio histórico sintético,2026-07-07T16:00:00Z,2026-07-07T10:00:00Z,2026-07-07T16:00:00Z,Inspección histórica sintética,AUTH-H140,QC-H140,,delivered
WO-H141,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H141,CT-001,T-001,B-001,Servicio histórico sintético,2026-07-07T05:00:00Z,2026-07-06T21:00:00Z,2026-07-07T05:00:00Z,Inspección histórica sintética,AUTH-H141,QC-H141,,delivered
WO-H142,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H142,CT-001,T-002,B-002,Servicio histórico sintético,2026-07-06T18:00:00Z,2026-07-06T08:00:00Z,2026-07-06T18:00:00Z,Inspección histórica sintética,AUTH-H142,QC-H142,,delivered
WO-H143,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H143,CT-002,T-003,B-003,Servicio histórico sintético,2026-07-06T07:00:00Z,2026-07-05T19:00:00Z,2026-07-06T07:00:00Z,Inspección histórica sintética,AUTH-H143,QC-H143,,delivered
WO-H144,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H144,CT-002,T-004,B-004,Servicio histórico sintético,2026-07-07T12:00:00Z,2026-07-05T06:00:00Z,2026-07-07T12:00:00Z,Inspección histórica sintética,AUTH-H144,QC-H144,,delivered
WO-H145,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H145,,T-001,B-001,Servicio histórico sintético,2026-07-05T09:00:00Z,2026-07-04T17:00:00Z,2026-07-05T09:00:00Z,Inspección histórica sintética,AUTH-H145,QC-H145,,delivered
WO-H146,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H146,,T-002,B-002,Servicio histórico sintético,2026-07-04T22:00:00Z,2026-07-04T04:00:00Z,2026-07-04T22:00:00Z,Inspección histórica sintética,AUTH-H146,QC-H146,,delivered
WO-H147,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H147,,T-003,B-003,Servicio histórico sintético,2026-07-03T21:00:00Z,2026-07-03T15:00:00Z,2026-07-03T21:00:00Z,Inspección histórica sintética,AUTH-H147,QC-H147,,delivered
WO-H148,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H148,,T-004,B-004,Servicio histórico sintético,2026-07-03T10:00:00Z,2026-07-03T02:00:00Z,2026-07-03T10:00:00Z,Inspección histórica sintética,AUTH-H148,QC-H148,,delivered
WO-H149,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H149,,T-001,B-001,Servicio histórico sintético,2026-07-02T23:00:00Z,2026-07-02T13:00:00Z,2026-07-02T23:00:00Z,Inspección histórica sintética,AUTH-H149,QC-H149,,delivered
WO-H150,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H150,,T-002,B-002,Servicio histórico sintético,2026-07-02T12:00:00Z,2026-07-02T00:00:00Z,2026-07-02T12:00:00Z,Inspección histórica sintética,AUTH-H150,QC-H150,,delivered
WO-H151,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H151,,T-003,B-003,Servicio histórico sintético,2026-07-02T01:00:00Z,2026-07-01T11:00:00Z,2026-07-02T01:00:00Z,Inspección histórica sintética,AUTH-H151,QC-H151,,delivered
WO-H152,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H152,,T-004,B-004,Servicio histórico sintético,2026-07-01T14:00:00Z,2026-06-30T22:00:00Z,2026-07-01T14:00:00Z,Inspección histórica sintética,AUTH-H152,QC-H152,,delivered
WO-H153,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H153,CT-001,T-001,B-001,Servicio histórico sintético,2026-07-03T00:00:00Z,2026-06-30T09:00:00Z,2026-07-03T00:00:00Z,Inspección histórica sintética,AUTH-H153,QC-H153,,delivered
WO-H154,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H154,CT-001,T-002,B-002,Servicio histórico sintético,2026-06-30T02:00:00Z,2026-06-29T20:00:00Z,2026-06-30T02:00:00Z,Inspección histórica sintética,AUTH-H154,QC-H154,,delivered
WO-H155,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H155,CT-002,T-003,B-003,Servicio histórico sintético,2026-06-29T15:00:00Z,2026-06-29T07:00:00Z,2026-06-29T15:00:00Z,Inspección histórica sintética,AUTH-H155,QC-H155,,delivered
WO-H156,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H156,CT-002,T-004,B-004,Servicio histórico sintético,2026-06-29T04:00:00Z,2026-06-28T18:00:00Z,2026-06-29T04:00:00Z,Inspección histórica sintética,AUTH-H156,QC-H156,,delivered
WO-H157,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H157,,T-001,B-001,Servicio histórico sintético,2026-06-28T17:00:00Z,2026-06-28T05:00:00Z,2026-06-28T17:00:00Z,Inspección histórica sintética,AUTH-H157,QC-H157,,delivered
WO-H158,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H158,,T-002,B-002,Servicio histórico sintético,2026-06-28T06:00:00Z,2026-06-27T16:00:00Z,2026-06-28T06:00:00Z,Inspección histórica sintética,AUTH-H158,QC-H158,,delivered
WO-H159,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H159,,T-003,B-003,Servicio histórico sintético,2026-06-27T19:00:00Z,2026-06-27T03:00:00Z,2026-06-27T19:00:00Z,Inspección histórica sintética,AUTH-H159,QC-H159,,delivered
WO-H160,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H160,,T-004,B-004,Servicio histórico sintético,2026-06-27T08:00:00Z,2026-06-26T14:00:00Z,2026-06-27T08:00:00Z,Inspección histórica sintética,AUTH-H160,QC-H160,,delivered
